,character_name,rarity,region,vision,weapon_type,model,constellation,birthday,special_dish,affiliation,voice_eng,voice_cn,voice_jp,voice_kr,release_date,ascension,ascension_specialty,ascension_talent,ascension_boss,talent_book,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
41,Nahida,5,Sumeru,Dendro,Catalyst,Short Female,Sapientia Oromasdis,27-Oct,Halvamazd,Sumeru City,Kimberley Anne Campbell,Hualing (??),Tamura Yukari (?????),Park Shi-Yoon (???),11/02/22,Elemental Mastery,Kalpalata Lotus,Fungal Spores,Quelled Creeper,Teachings of Ingenuity,Puppet Strings,10360,298,630,9631,277,585,9140,263,556,8417,242,512,7926,228,482,7211,208,438,6720,193,408,6012,173,365,5357,154,325,4656,134,283,4165,120,253,2783,80,169,2092,60,127,806,23,49,0.0,0,28.8,57.6,57.6,86.4,115.2
42,Nilou,5,Sumeru,Hydro,Sword,Medium Female,Lotos Somno,3-Dec,Swirling Steps,Zubayr Theater,Dani Chambers,Zisu Jiuyue (????),Kanemoto Hisako (????),Chae Rim (??),10/14/22,HP,Padisarah,Fungal Spores,Perpetual Caliber,Teachings of Praxis,Tears of the Calamitous God,15184,229,728,14117,213,677,13397,202,642,12338,186,591,11617,175,557,10570,159,507,9850,148,472,8812,133,422,7852,118,376,6825,103,327,6104,92,292,4079,61,195,3066,46,147,1182,17,56,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
46,Raiden Shogun,5,Inazuma,Electro,Polearm,Tall Female,Imperatrix Umbrosa,26-Jun,,Inazuma City,Anne Yatco,Juhuahua (???),Miyuki Sawashiro (?????),Park Ji-yoon (???),09/01/21,Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Teachings of Light,Molten Moment,12907,337,789,12000,314,737,11388,298,696,10487,274,641,9875,258,604,8985,235,549,8373,219,512,7491,196,458,6675,175,408,5801,152,355,5189,136,317,3468,91,212,2606,68,159,1005,26,61,0.0,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
49,Sangonomiya Kokomi,5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,Risa Mei,Guiniang (??),Suzuko Mimori (?????),Yeo Yun-mi (???),09/21/21,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Teachings of Transience,Hellfire Butterfly,13471,234,657,12524,218,611,11885,207,580,10945,190,534,10306,179,503,9377,163,457,8738,152,426,7818,136,381,6966,121,340,6055,105,295,5416,94,264,3619,63,177,2720,47,133,1049,18,51,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
51,Shenhe,5,Liyue,Cryo,Polearm,Tall Female,Crista Doloris,10-Mar,Heartstring Noodles,Cloud Retainer's Abode,Chelsea Kwoka,Ziyi Qin(???),Ayako Kawasumi (????),Lee Hyun-jin (???),01/05/22,ATK,Qingxin,Whopperflower Nectar,Dragonheir's False Fin,Teachings of Prosperity,Hellfire Butterfly,12993,304,830,21080,282,772,11463,268,732,10557,274,674,9941,232,635,9045,211,578,8429,197,538,7540,176,482,6719,157,429,5840,137,373,5224,122,334,3491,82,223,2624,61,168,1011,24,65,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
54,Tartaglia,5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,Griffin Burns,Yudong (??),Ryohei Kimura (????),Nam Doh-hyeong (???),11/11/20,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Teachings of Freedom,Shard of a Foul Legacy,13103,301,815,12182,280,757,11561,266,719,10647,245,662,10025,231,623,9121,210,567,8500,195,528,7604,175,473,6776,156,421,5889,135,366,5268,121,328,3521,81,219,2646,61,165,1020,23,63,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
56,Tighnari,5,Sumeru,Dendro,Bow,Medium Male,Vulpes Zerda,29-Dec,Forest Watcher's Choice,Gandharva Ville,Elliot Gindi,Moran (??),Kobayashi Sanae (?? ??),Jung Ui-taek (???),08/24/22,Dendro DMG Bonus,Nilotpala Lotus,Fungal Spores,Majestic Hooked Beak,Teachings of Admonition,The Meaning of Aeons,10849,267,630,10087,249,585,9572,236,556,8815,217,512,8301,204,482,7552,186,438,7038,173,408,6296,155,365,5610,138,325,4876,120,283,4362,107,253,2915,71,169,2191,54,127,844,20,49,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
59,Venti,5,Mondstadt,Anemo,Bow,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,Mondstadt,Erika Harlacher,Miaojiang (??),Ayumu Murase (???),Jung Yoo-jung (???),09/28/20,Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Teachings of Ballad,Tail of Boreas,10531,263,669,9790,245,622,9292,232,590,8557,214,543,8058,201,512,7331,183,465,6832,171,434,6112,153,388,5446,136,346,4734,118,301,4234,106,269,2830,71,180,2127,53,135,820,20,52,0.0,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
60,Wanderer,5,Sumeru,Anemo,Catalyst,Medium Male,Peregrinus,3-Jan,Shimi Chazuke,,Patrick Pedraza,Luyin (??),Kakihara Tetsuya (?? ??),Min Seung-woo (???),12/07/22,CRIT Rate,Rukkhashava Mushrooms,Old Handguard,Perpetual Caliber,Teachings of Praxis,Daka's Bell,10164,327,607,9449,304,564,8967,289,535,8258,266,493,7776,250,464,7075,228,422,6593,212,393,5898,190,352,5256,169,313,4568,147,272,4086,131,244,2730,88,163,2052,66,122,791,25,47,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
62,Xiao,5,Liyue,Anemo,Polearm,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""",Liyue Adeptus,Laila Berzins,kinsen,Yoshitsugu Matsuoka (????),Sim Kyu-hyuk (???),02/03/21,CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Teachings of Prosperity,Shadow of the Warrior,12736,349,799,11840,325,743,11236,308,705,10348,284,649,9744,267,612,8866,243,556,8262,227,519,7391,203,464,6586,181,413,5724,157,359,5120,141,321,3422,94,215,2572,71,161,991,27,62,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
65,Yae Miko,5,Inazuma,Electro,Catalyst,Tall Female,Divina Vulpes,27-Jun,Fukuuchi Udon,Grand Narukami Shrine,Ratana,Mingya Du (???),Ayane Sakura (????),Moon Yoo-jeong (???),02/16/22,CRIT Rate,Sea Ganoderma,Old Handguard,Dragonheir's False Fin,Teachings of Light,The Meaning of Aeons,10372,340,569,9643,316,529,9151,300,502,8428,276,462,7936,260,435,7220,236,396,6729,220,369,6020,197,330,5364,176,294,4662,153,256,4170,137,229,2787,91,153,2065,69,115,807,26,44,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
68,Yelan,5,Liyue,Hydro,Bow,Tall Female,Umbrabilis Orchis,20-Apr,Dew-Dipped Shrimp,Yanshang Teahouse,Laura Post,Xu Hui (??),Endou Aya (?? ?),Min-a (??),05/31/22,CRIT Rate,Starconch,Recruit's Insignia,Runic Fang,Teachings of Prosperity,Gilded Scale,14450,244,548,13434,227,509,12749,215,483,11741,198,445,11056,187,419,10059,170,381,9374,158,355,8386,142,318,7472,126,283,6495,110,246,5810,98,220,3883,66,147,2918,49,111,1125,19,43,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
69,Yoimiya,5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,Jenny Yokobori,Na Jin (??),Kana Ueda (????),Bak Sin-hee (???),08/10/21,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Teachings of Transience,Dragon Lord's Crown,10164,323,615,9450,300,572,8968,285,542,8259,262,500,7777,247,470,7075,225,428,6593,209,399,6899,187,357,5256,167,318,4568,145,276,4086,130,318,2731,87,165,2053,65,124,791,25,48,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
71,Zhongli,5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,Keith Silverstein,Bo Peng (??),Tomoaki Maeno (????),Pyo Yeong-jae (???),12/01/20,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Teachings of Gold,Tusk of Monoceros Caeli,14695,251,738,13662,233,686,12965,222,651,11940,204,599,11243,192,564,10230,175,514,9533,163,479,8528,146,428,7599,130,382,6605,113,332,5908,101,297,3948,67,198,2967,51,149,1144,20,57,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
